Date,Politician,Last Name,Chamber,Symbol,Name,Trans Total<sup>*</sup>,Trans,Notes
16/04/2021,Ronald,Wyden,US Senator,KLAC,K L A-Tencor C,75000,Sell,"By Spouse. Traded $50,001 To $100,000 "
16/04/2021,Ronald,Wyden,US Senator,AMAT,Applied Materi,75000,Sell,"By Spouse. Traded $50,001 To $100,000 ."
15/04/2021,Diana,Harshbarger,US Congressman,RGA,Reinsurance Gr,24002,Sell,"By Congressman & Spouse. Traded $3,003 To $45,000 ."
15/04/2021,Thomas,Suozzi,US Congressman,IPGP,Ipg Photonics ,8000,Buy,"Traded $1,001 to $15,000 "
15/04/2021,Joshua,Gottheimer,US Congressman,LULU,Lululemon Athl,8000,Sell,"Traded $1,001 to $15,000 "
15/04/2021,Joshua,Gottheimer,US Congressman,GOOG,Alphabet Cl C,8000,Buy,"Traded $1,001 to $15,000 "
15/04/2021,Christopher,Jacobs,US Congressman,VAR,Varian Medical,8000,Sell,"Traded $1,001 to $15,000 "
15/04/2021,Mark,Green,US Congressman,GLP,Global Partner,175000,Buy,"Traded $100,001 to $250,000 "
15/04/2021,Mark,Green,US Congressman,ET,Energy Transfe,375000,Sell,"Traded $250,001 to $500,000 "
15/04/2021,Earl,Blumenauer,US Congressman,O,Realty Income ,8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
15/04/2021,Gary,Peters,US Senator,VPU,Utilities ETF ,8000,Buy,"Traded $1,001 to $15,000 "
14/04/2021,Diana,Harshbarger,US Congressman,AMZN,Amazon.com Inc,8000,Buy,"Traded $1,001 to $15,000 ."
14/04/2021,Diana,Harshbarger,US Congressman,AMZN,Amazon.com Inc,8000,Buy,"Traded $1,001 to $15,000 ."
14/04/2021,Thomas,Suozzi,US Congressman,CVS,CVS Corp,32500,Buy,"Traded $15,001 to $50,000 "
14/04/2021,Thomas,Tuberville,US Senator,FCX,Freeport-Mcmor,32500,Sell,"Traded $15,001 to $50,000 "
14/04/2021,Thomas,Tuberville,US Senator,ADBE,Adobe Systems ,8000,Sell,"Sale Of Put Options With Strike Price $400.00 And Expiry 01/21/2022 .Traded $1,001 To $15,000 As We Don't Have A Price We Have Stated An Amount Of 1 And Valued At The Midpoint."
14/04/2021,Rohit,Khanna,US Congressman,MSI,Motorola Solut,8000,Sell,"By Dependent Child. Traded $1,001 to $15,000 ."
14/04/2021,Peter,Sessions,US Congressman,LOW,Lowe's Compani,5037,Buy,Price not reported.
14/04/2021,Alan,Lowenthal,US Congressman,COIN,Coinbase Globa,8000,Buy,"By Spouse. Traded $1,001 to $15,000 "
14/04/2021,William,Keating,US Congressman,VRSN,Verisign Inc,8000,Buy,"Traded $1,001 to $15,000 ."
14/04/2021,William,Keating,US Congressman,SU.TO,Suncor Energy ,8000,Sell,"Traded $1,001 to $15,000 ."
14/04/2021,William,Keating,US Congressman,PG,Procter & Gamb,8000,Buy,"Traded $1,001 to $15,000 "
14/04/2021,William,Keating,US Congressman,MSFT,Microsoft Corp,8000,Buy,"Traded $1,001 to $15,000 "
14/04/2021,William,Keating,US Congressman,CVX,Chevron Corp,8000,Sell,"Traded $1,001 to $15,000 "
14/04/2021,William,Keating,US Congressman,BA,Boeing Company,8000,Buy,"Traded $1,001 to $15,000 "
14/04/2021,William,Keating,US Congressman,BAX,Baxter Interna,8000,Buy,"Traded $1,001 to $15,000 "
14/04/2021,Susie,Lee,US Congressman,SCI,Service Corp I,8000,Sell,"Traded $1,001 to $15,000 "
14/04/2021,Mark,Green,US Congressman,USAC,USA Compressio,75000,Buy,"Traded $50,001 to $100,000 ."
14/04/2021,Mark,Green,US Congressman,SHLX,Shell Midstrea,250001,Buy,"Traded $150,002 to $350,000 ."
14/04/2021,Mark,Green,US Congressman,MPLX,Mplx LP,175000,Buy,"Traded $100,001 to $250,000 "
14/04/2021,Mark,Green,US Congressman,BPMP,BP Midstream P,375000,Sell,"Traded $250,001 to $500,000 "
14/04/2021,Mark,Green,US Congressman,AM,Antero Midstre,925001,Buy,"Traded $600,002 to $1,250,000 "
14/04/2021,James,Hill,US Congressman,SYF,Synchrony Fina,32500,Sell,"Traded $15,001 to $50,000 ."
